"Type","OriginSimple","ReviewStatus","NumberSubmitters","labels"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"Duplication","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",24,"1"
"Deletion","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","practice guideline",31,"1"
"single nucleotide variant","germline","reviewed by expert panel",3,"1"
"single nucleotide variant","germline","practice guideline",22,"1"
"Deletion","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"Duplication","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","reviewed by expert panel",23,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"Duplication","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"Deletion","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"single nucleotide variant","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","reviewed by expert panel",14,"1"
"Microsatellite","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",16,"1"
"single nucleotide variant","germline","no assertion criteria provided",1,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Duplication","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","no assertion criteria provided",1,"1"
"Deletion","germline","no assertion criteria provided",1,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","germline","reviewed by expert panel",15,"1"
"Deletion","germline","reviewed by expert panel",26,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Duplication","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","practice guideline",30,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"0"
"single nucleotide variant","germline","reviewed by expert panel",28,"1"
"single nucleotide variant","germline","reviewed by expert panel",21,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"Deletion","germline","reviewed by expert panel",9,"1"
"Deletion","germline","reviewed by expert panel",12,"1"
"Deletion","germline","reviewed by expert panel",18,"1"
"Indel","germline","reviewed by expert panel",13,"1"
"Duplication","germline","reviewed by expert panel",27,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"Duplication","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"0"
"single nucleotide variant","germline","reviewed by expert panel",16,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",14,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",24,"1"
"Deletion","germline","practice guideline",25,"1"
"Deletion","germline","reviewed by expert panel",4,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"Deletion","germline","criteria provided, single submitter",1,"0"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Insertion","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",6,"0"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"Deletion","germline","reviewed by expert panel",18,"1"
"Deletion","germline","practice guideline",27,"1"
"single nucleotide variant","germline","practice guideline",33,"1"
"single nucleotide variant","germline","practice guideline",20,"1"
"single nucleotide variant","germline","practice guideline",35,"1"
"Duplication","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","reviewed by expert panel",24,"1"
"single nucleotide variant","germline","reviewed by expert panel",19,"1"
"Indel","germline","reviewed by expert panel",8,"1"
"Microsatellite","germline","criteria provided, multiple submitters, no conflicts",3,"0"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",17,"1"
"Microsatellite","germline","criteria provided, multiple submitters, no conflicts",10,"0"
"single nucleotide variant","germline","reviewed by expert panel",19,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"Deletion","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",19,"1"
"Deletion","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Microsatellite","germline","criteria provided, single submitter",1,"0"
"Deletion","germline","reviewed by expert panel",3,"1"
"Deletion","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"Insertion","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",14,"1"
"Duplication","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"Deletion","germline","reviewed by expert panel",14,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"single nucleotide variant","unknown","criteria provided, multiple submitters, no conflicts",2,"1"
"Indel","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Microsatellite","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Deletion","germline","criteria provided, single submitter",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"Microsatellite","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Microsatellite","germline","reviewed by expert panel",6,"1"
"Deletion","germline","reviewed by expert panel",10,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"0"
"single nucleotide variant","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",3,"1"
"Deletion","germline","criteria provided, single submitter",3,"1"
"Deletion","germline","reviewed by expert panel",15,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Duplication","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"Deletion","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"Duplication","germline","reviewed by expert panel",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"0"
"Deletion","germline","reviewed by expert panel",4,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Insertion","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","reviewed by expert panel",4,"1"
"Deletion","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",10,"0"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"0"
"single nucleotide variant","germline","reviewed by expert panel",18,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",3,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",6,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",8,"1"
"Deletion","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",19,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",14,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"Deletion","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","reviewed by expert panel",16,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"Indel","germline","reviewed by expert panel",10,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",6,"1"
"Duplication","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",3,"0"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","reviewed by expert panel",3,"1"
"Indel","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"Deletion","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","reviewed by expert panel",3,"1"
"Deletion","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"Microsatellite","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"Duplication","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"Duplication","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",7,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"Duplication","germline","reviewed by expert panel",5,"1"
"Deletion","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"0"
"Deletion","germline","reviewed by expert panel",10,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"0"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"Duplication","germline","reviewed by expert panel",7,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"Deletion","germline","reviewed by expert panel",5,"1"
"Deletion","germline","reviewed by expert panel",6,"1"
"Deletion","germline","reviewed by expert panel",12,"1"
"Deletion","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"Duplication","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"Deletion","germline","reviewed by expert panel",3,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",7,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",14,"1"
"Microsatellite","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",7,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Duplication","germline","reviewed by expert panel",6,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"Deletion","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"0"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Deletion","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",9,"0"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",14,"1"
"Indel","germline","reviewed by expert panel",5,"1"
"Duplication","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Deletion","unknown","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Indel","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"Deletion","unknown","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"Indel","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Duplication","unknown","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","no assertion criteria provided",2,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"Deletion","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",6,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"0"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"Microsatellite","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"0"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"0"
"Microsatellite","germline","criteria provided, multiple submitters, no conflicts",3,"0"
"Microsatellite","germline","reviewed by expert panel",11,"1"
"Deletion","germline","reviewed by expert panel",5,"1"
"Duplication","germline","reviewed by expert panel",13,"1"
"Duplication","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"Deletion","germline","reviewed by expert panel",7,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"0"
"single nucleotide variant","germline","no assertion criteria provided",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",4,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"Duplication","germline","criteria provided, single submitter",2,"1"
"Deletion","germline","reviewed by expert panel",3,"1"
"Indel","germline","criteria provided, single submitter",1,"1"
"Indel","germline","reviewed by expert panel",9,"1"
"Deletion","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"Deletion","germline","reviewed by expert panel",4,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"Duplication","germline","reviewed by expert panel",3,"1"
"Duplication","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","criteria provided, single submitter",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",6,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
"Deletion","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",10,"1"
"Deletion","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"Deletion","germline","criteria provided, single submitter",2,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Duplication","germline","criteria provided, multiple submitters, no conflicts",5,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"Deletion","germline","reviewed by expert panel",7,"1"
